"Group","Acer rubrum","Acer saccharum","Carya cordiformis","Carya ovata","Celtis occidentalis","Cercis canadensis","Cornus florida","Fagus grandifolia","Fraxinus americana","Fraxinus pennsylvanica","Hamamelis virginiana","Juniperus virginiana","Liriodendron tulipifera","Paulownia tomentosa","Prunus serotina","Quercus alba","Quercus coccinea","Quercus prinus","Quercus rubra","Quercus shumardii","Quercus velutina","Rhus typhina","Sassafras albidum","Tilia americana","Ulmus americana","Ulmus rubra"
"0",2,18,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0
"1",1,12,0,0,0,0,0,17,1,0,0,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0
"2",2,6,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0
"3",0,16,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,6,0,0,2,0,1,0,0,0
"4",2,14,0,0,0,0,1,21,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0
"5",6,4,0,0,0,0,11,35,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"6",2,13,0,0,0,0,1,27,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
"7",3,9,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0
"8",2,16,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0
"9",1,10,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"10",1,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0
"11",2,9,0,2,0,0,1,15,0,2,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,1
"12",0,15,0,0,0,0,0,3,0,0,6,0,1,0,0,0,0,4,0,0,0,0,5,0,0,0
"13",0,18,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
"14",0,36,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"15",1,19,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"16",2,9,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0
"17",3,15,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"18",3,15,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0
"19",4,17,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"20",1,14,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
"21",2,4,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"22",1,9,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0
"23",3,14,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
"24",4,7,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,6,0,0,2,0,1,0,0,0
"100",7,9,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,6,0,0,1,0,0,0,0,0
"101",1,14,0,0,0,0,2,22,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0
"102",2,10,0,1,0,0,0,20,0,0,0,0,0,0,0,4,1,5,1,0,3,0,1,0,0,0
"103",2,9,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
"104",3,6,0,0,0,0,4,29,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0
"105",5,0,0,0,0,0,8,15,0,0,0,0,0,0,0,0,1,5,0,0,0,0,4,0,0,0
